Country,Year,female_population,Female deaths,ICCS - CRIME DEFINITION,UNIT,Value,per100k
Croatia,2014,2197061.0,26031.0,Sexual assault,Number,222.0,10.1
Croatia,2015,2186089.0,27987.0,Intentional homicide,Number,15.0,0.7
Croatia,2015,2186089.0,27987.0,Rape,Number,242.0,11.1
Croatia,2015,2186089.0,27987.0,Sexual assault,Number,315.0,14.4
Croatia,2016,2167872.0,26397.0,Intentional homicide,Number,20.0,0.9
Croatia,2016,2167872.0,26397.0,Rape,Number,306.0,14.1
Croatia,2016,2167872.0,26397.0,Sexual assault,Number,327.0,15.1
Croatia,2017,2149003.0,27817.0,Intentional homicide,Number,18.0,0.8
Croatia,2017,2149003.0,27817.0,Rape,Number,230.0,10.7
Croatia,2017,2149003.0,27817.0,Sexual assault,Number,217.0,10.1
Croatia,2018,2123694.0,26985.0,Intentional homicide,Number,8.0,0.4
Croatia,2018,2123694.0,26985.0,Rape,Number,265.0,12.5
Croatia,2018,2123694.0,26985.0,Sexual assault,Number,213.0,10.0
Croatia,2019,2103674.0,26692.0,Intentional homicide,Number,14.0,0.7
Croatia,2019,2103674.0,26692.0,Rape,Number,420.0,20.0
Croatia,2019,2103674.0,26692.0,Sexual assault,Number,345.0,16.4
Croatia,2020,2086515.0,29164.0,Intentional homicide,Number,19.0,0.9
Croatia,2020,2086515.0,29164.0,Rape,Number,289.0,13.9
Croatia,2020,2086515.0,29164.0,Sexual assault,Number,238.0,11.4
Croatia,2021,2071425.0,31575.0,Intentional homicide,Number,14.0,0.7
Cyprus,2012,443018.0,2668.0,Intentional homicide,Number,5.0,1.1
Cyprus,2012,443018.0,2668.0,Rape,Number,,
Cyprus,2012,443018.0,2668.0,Sexual assault,Number,,
Cyprus,2013,444842.0,2373.0,Intentional homicide,Number,3.0,0.7
Cyprus,2013,444842.0,2373.0,Rape,Number,,
Cyprus,2013,444842.0,2373.0,Sexual assault,Number,,
Cyprus,2014,440462.0,2609.0,Intentional homicide,Number,5.0,1.1
Cyprus,2014,440462.0,2609.0,Rape,Number,,
Cyprus,2014,440462.0,2609.0,Sexual assault,Number,,
Cyprus,2015,435183.0,2839.0,Intentional homicide,Number,2.0,0.5
Cyprus,2015,435183.0,2839.0,Rape,Number,,
Cyprus,2015,435183.0,2839.0,Sexual assault,Number,,
Cyprus,2016,435627.0,2561.0,Intentional homicide,Number,5.0,1.1
Cyprus,2016,435627.0,2561.0,Rape,Number,,
Cyprus,2016,435627.0,2561.0,Sexual assault,Number,,
Cyprus,2017,438139.0,2910.0,Intentional homicide,Number,0.0,0.0
Cyprus,2017,438139.0,2910.0,Rape,Number,,
Cyprus,2017,438139.0,2910.0,Sexual assault,Number,,
Cyprus,2018,442728.0,2792.0,Intentional homicide,Number,6.0,1.4
Cyprus,2018,442728.0,2792.0,Rape,Number,,
Cyprus,2018,442728.0,2792.0,Sexual assault,Number,,
Cyprus,2019,448068.0,2985.0,Intentional homicide,Number,10.0,2.2
Cyprus,2019,448068.0,2985.0,Rape,Number,,
Cyprus,2019,448068.0,2985.0,Sexual assault,Number,,
Cyprus,2020,453534.0,3083.0,Intentional homicide,Number,5.0,1.1
Cyprus,2020,453534.0,3083.0,Rape,Number,,
