Country,Year,Population,female_population,Female deaths,ICSS CRIME,LEGAL STATUS OF PERPETRATOR,Value,per_100k
Austria,2020,8901064,4522292.0,45999.0,Intentional homicide,Suspected person,51.0,1.2
Austria,2020,8901064,4522292.0,45999.0,Intentional homicide,Prosecuted person,282.0,6.4
Austria,2020,8901064,4522292.0,45999.0,Intentional homicide,Convicted person,35.0,0.8
Austria,2020,8901064,4522292.0,45999.0,Rape,Suspected person,1563.0,35.7
Austria,2020,8901064,4522292.0,45999.0,Rape,Prosecuted person,1687.0,38.5
Austria,2020,8901064,4522292.0,45999.0,Rape,Convicted person,187.0,4.3
Austria,2020,8901064,4522292.0,45999.0,Sexual assault,Suspected person,1646.0,37.6
Austria,2020,8901064,4522292.0,45999.0,Sexual assault,Prosecuted person,2652.0,60.6
Austria,2020,8901064,4522292.0,45999.0,Sexual assault,Convicted person,218.0,5.0
Austria,2021,8932664,4535712.0,,Intentional homicide,Convicted person,29.0,0.7
Austria,2021,8932664,4535712.0,,Rape,Convicted person,,
Austria,2021,8932664,4535712.0,,Sexual assault,Convicted person,,
Belgium,2012,11075889,5635601.0,55291.0,Intentional homicide,Suspected person,164.0,3.0
Belgium,2012,11075889,5635601.0,55291.0,Intentional homicide,Prosecuted person,336.0,6.2
Belgium,2012,11075889,5635601.0,55291.0,Intentional homicide,Convicted person,273.0,5.0
Belgium,2012,11075889,5635601.0,55291.0,Rape,Suspected person,1234.0,22.7
Belgium,2012,11075889,5635601.0,55291.0,Rape,Prosecuted person,4290.0,78.9
Belgium,2012,11075889,5635601.0,55291.0,Rape,Convicted person,520.0,9.6
Belgium,2012,11075889,5635601.0,55291.0,Sexual assault,Suspected person,2857.0,52.5
Belgium,2012,11075889,5635601.0,55291.0,Sexual assault,Prosecuted person,4026.0,74.0
Belgium,2012,11075889,5635601.0,55291.0,Sexual assault,Convicted person,,
Belgium,2013,11137974,5665118.0,55493.0,Intentional homicide,Suspected person,165.0,3.0
Belgium,2013,11137974,5665118.0,55493.0,Intentional homicide,Prosecuted person,352.0,6.4
Belgium,2013,11137974,5665118.0,55493.0,Intentional homicide,Convicted person,227.0,4.1
Belgium,2013,11137974,5665118.0,55493.0,Rape,Suspected person,1043.0,19.1
Belgium,2013,11137974,5665118.0,55493.0,Rape,Prosecuted person,4381.0,80.0
Belgium,2013,11137974,5665118.0,55493.0,Rape,Convicted person,473.0,8.6
Belgium,2013,11137974,5665118.0,55493.0,Sexual assault,Suspected person,2962.0,54.1
Belgium,2013,11137974,5665118.0,55493.0,Sexual assault,Prosecuted person,4092.0,74.8
Belgium,2013,11137974,5665118.0,55493.0,Sexual assault,Convicted person,,
Belgium,2014,11180840,5687048.0,53244.0,Intentional homicide,Suspected person,146.0,2.7
Belgium,2014,11180840,5687048.0,53244.0,Intentional homicide,Prosecuted person,471.0,8.6
Belgium,2014,11180840,5687048.0,53244.0,Intentional homicide,Convicted person,209.0,3.8
Belgium,2014,11180840,5687048.0,53244.0,Rape,Suspected person,941.0,17.1
Belgium,2014,11180840,5687048.0,53244.0,Rape,Prosecuted person,4023.0,73.2
Belgium,2014,11180840,5687048.0,53244.0,Rape,Convicted person,461.0,8.4
Belgium,2014,11180840,5687048.0,53244.0,Sexual assault,Suspected person,3005.0,54.7
Belgium,2014,11180840,5687048.0,53244.0,Sexual assault,Prosecuted person,3898.0,71.0
Belgium,2014,11180840,5687048.0,53244.0,Sexual assault,Convicted person,,
Belgium,2015,11237274,5713206.0,56926.0,Intentional homicide,Suspected person,115.0,2.1
Belgium,2015,11237274,5713206.0,56926.0,Intentional homicide,Prosecuted person,323.0,5.8
Belgium,2015,11237274,5713206.0,56926.0,Intentional homicide,Convicted person,74.0,1.3
Belgium,2015,11237274,5713206.0,56926.0,Rape,Suspected person,444.0,8.0
Belgium,2015,11237274,5713206.0,56926.0,Rape,Prosecuted person,3962.0,71.7
Belgium,2015,11237274,5713206.0,56926.0,Rape,Convicted person,384.0,7.0
Belgium,2015,11237274,5713206.0,56926.0,Sexual assault,Suspected person,641.0,11.6
Belgium,2015,11237274,5713206.0,56926.0,Sexual assault,Prosecuted person,3776.0,68.4
Belgium,2015,11237274,5713206.0,56926.0,Sexual assault,Convicted person,489.0,8.9
Belgium,2016,11311117,5741853.0,54778.0,Intentional homicide,Suspected person,90.0,1.6
Belgium,2016,11311117,5741853.0,54778.0,Intentional homicide,Prosecuted person,316.0,5.7
Belgium,2016,11311117,5741853.0,54778.0,Intentional homicide,Convicted person,84.0,1.5
Belgium,2016,11311117,5741853.0,54778.0,Rape,Suspected person,422.0,7.6
Belgium,2016,11311117,5741853.0,54778.0,Rape,Prosecuted person,4178.0,75.0
Belgium,2016,11311117,5741853.0,54778.0,Rape,Convicted person,330.0,5.9
Belgium,2016,11311117,5741853.0,54778.0,Sexual assault,Suspected person,749.0,13.4
Belgium,2016,11311117,5741853.0,54778.0,Sexual assault,Prosecuted person,4106.0,73.7
Belgium,2016,11311117,5741853.0,54778.0,Sexual assault,Convicted person,460.0,8.3
Belgium,2017,11351727,5762455.0,55373.0,Intentional homicide,Suspected person,91.0,1.6
Belgium,2017,11351727,5762455.0,55373.0,Intentional homicide,Prosecuted person,309.0,5.5
Belgium,2017,11351727,5762455.0,55373.0,Intentional homicide,Convicted person,82.0,1.5
Belgium,2017,11351727,5762455.0,55373.0,Rape,Suspected person,504.0,9.0
Belgium,2017,11351727,5762455.0,55373.0,Rape,Prosecuted person,4578.0,81.9
Belgium,2017,11351727,5762455.0,55373.0,Rape,Convicted person,321.0,5.7
Belgium,2017,11351727,5762455.0,55373.0,Sexual assault,Suspected person,867.0,15.5
Belgium,2017,11351727,5762455.0,55373.0,Sexual assault,Prosecuted person,4459.0,79.8
Belgium,2017,11351727,5762455.0,55373.0,Sexual assault,Convicted person,425.0,7.6
Belgium,2018,11398589,5784371.0,56586.0,Intentional homicide,Suspected person,85.0,1.5
Belgium,2018,11398589,5784371.0,56586.0,Intentional homicide,Prosecuted person,293.0,5.2
Belgium,2018,11398589,5784371.0,56586.0,Intentional homicide,Convicted person,88.0,1.6
Belgium,2018,11398589,5784371.0,56586.0,Rape,Suspected person,473.0,8.4
Belgium,2018,11398589,5784371.0,56586.0,Rape,Prosecuted person,4768.0,84.9
Belgium,2018,11398589,5784371.0,56586.0,Rape,Convicted person,345.0,6.1
Belgium,2018,11398589,5784371.0,56586.0,Sexual assault,Suspected person,883.0,15.7
Belgium,2018,11398589,5784371.0,56586.0,Sexual assault,Prosecuted person,4587.0,81.7
Belgium,2018,11398589,5784371.0,56586.0,Sexual assault,Convicted person,517.0,9.2
Belgium,2019,11455519,5810693.0,55564.0,Intentional homicide,Suspected person,66.0,1.2
Belgium,2019,11455519,5810693.0,55564.0,Intentional homicide,Prosecuted person,290.0,5.1
Belgium,2019,11455519,5810693.0,55564.0,Intentional homicide,Convicted person,72.0,1.3
Belgium,2019,11455519,5810693.0,55564.0,Rape,Suspected person,499.0,8.8
Belgium,2019,11455519,5810693.0,55564.0,Rape,Prosecuted person,5005.0,88.7
Belgium,2019,11455519,5810693.0,55564.0,Rape,Convicted person,375.0,6.6
Belgium,2019,11455519,5810693.0,55564.0,Sexual assault,Suspected person,976.0,17.3
Belgium,2019,11455519,5810693.0,55564.0,Sexual assault,Prosecuted person,5171.0,91.6
Belgium,2019,11455519,5810693.0,55564.0,Sexual assault,Convicted person,517.0,9.2
Belgium,2020,11522440,5841215.0,,Intentional homicide,Suspected person,77.0,1.4
Belgium,2020,11522440,5841215.0,,Intentional homicide,Prosecuted person,388.0,6.8
Belgium,2020,11522440,5841215.0,,Intentional homicide,Convicted person,,
Belgium,2020,11522440,5841215.0,,Rape,Suspected person,376.0,6.6
Belgium,2020,11522440,5841215.0,,Rape,Prosecuted person,5018.0,88.3
Belgium,2020,11522440,5841215.0,,Rape,Convicted person,,
Belgium,2020,11522440,5841215.0,,Sexual assault,Suspected person,814.0,14.3
Belgium,2020,11522440,5841215.0,,Sexual assault,Prosecuted person,5172.0,91.0
Belgium,2020,11522440,5841215.0,,Sexual assault,Convicted person,,
Bulgaria,2012,7327224,3760457.0,52334.0,Intentional homicide,Suspected person,73.0,2.0
Bulgaria,2012,7327224,3760457.0,52334.0,Intentional homicide,Prosecuted person,136.0,3.8
Bulgaria,2012,7327224,3760457.0,52334.0,Intentional homicide,Convicted person,97.0,2.7
Bulgaria,2012,7327224,3760457.0,52334.0,Rape,Suspected person,108.0,3.0
Bulgaria,2012,7327224,3760457.0,52334.0,Rape,Prosecuted person,129.0,3.6
Bulgaria,2012,7327224,3760457.0,52334.0,Rape,Convicted person,99.0,2.8
Bulgaria,2012,7327224,3760457.0,52334.0,Sexual assault,Suspected person,269.0,7.5
Bulgaria,2012,7327224,3760457.0,52334.0,Sexual assault,Prosecuted person,213.0,6.0
Bulgaria,2012,7327224,3760457.0,52334.0,Sexual assault,Convicted person,132.0,3.7
Bulgaria,2013,7284552,3739479.0,49234.0,Intentional homicide,Suspected person,51.0,1.4
Bulgaria,2013,7284552,3739479.0,49234.0,Intentional homicide,Prosecuted person,95.0,2.7
Bulgaria,2013,7284552,3739479.0,49234.0,Intentional homicide,Convicted person,65.0,1.8
Bulgaria,2013,7284552,3739479.0,49234.0,Rape,Suspected person,91.0,2.6
Bulgaria,2013,7284552,3739479.0,49234.0,Rape,Prosecuted person,125.0,3.5
Bulgaria,2013,7284552,3739479.0,49234.0,Rape,Convicted person,101.0,2.8
Bulgaria,2013,7284552,3739479.0,49234.0,Sexual assault,Suspected person,254.0,7.2
Bulgaria,2013,7284552,3739479.0,49234.0,Sexual assault,Prosecuted person,190.0,5.4
Bulgaria,2013,7284552,3739479.0,49234.0,Sexual assault,Convicted person,129.0,3.6
Bulgaria,2014,7245677,3720732.0,51956.0,Intentional homicide,Suspected person,80.0,2.3
Bulgaria,2014,7245677,3720732.0,51956.0,Intentional homicide,Prosecuted person,,
Bulgaria,2014,7245677,3720732.0,51956.0,Intentional homicide,Convicted person,66.0,1.9
Bulgaria,2014,7245677,3720732.0,51956.0,Rape,Suspected person,100.0,2.8
Bulgaria,2014,7245677,3720732.0,51956.0,Rape,Prosecuted person,,
Bulgaria,2014,7245677,3720732.0,51956.0,Rape,Convicted person,87.0,2.5
Bulgaria,2014,7245677,3720732.0,51956.0,Sexual assault,Suspected person,248.0,7.0
Bulgaria,2014,7245677,3720732.0,51956.0,Sexual assault,Prosecuted person,,
Bulgaria,2014,7245677,3720732.0,51956.0,Sexual assault,Convicted person,102.0,2.9
Bulgaria,2015,7202198,3700183.0,52671.0,Intentional homicide,Suspected person,94.0,2.7
Bulgaria,2015,7202198,3700183.0,52671.0,Intentional homicide,Prosecuted person,,
Bulgaria,2015,7202198,3700183.0,52671.0,Intentional homicide,Convicted person,93.0,2.7
Bulgaria,2015,7202198,3700183.0,52671.0,Rape,Suspected person,52.0,1.5
Bulgaria,2015,7202198,3700183.0,52671.0,Rape,Prosecuted person,,
Bulgaria,2015,7202198,3700183.0,52671.0,Rape,Convicted person,51.0,1.5
Bulgaria,2015,7202198,3700183.0,52671.0,Sexual assault,Suspected person,249.0,7.1
Bulgaria,2015,7202198,3700183.0,52671.0,Sexual assault,Prosecuted person,,
Bulgaria,2015,7202198,3700183.0,52671.0,Sexual assault,Convicted person,78.0,2.2
Bulgaria,2016,7153784,3676607.0,50998.0,Intentional homicide,Suspected person,71.0,2.0
Bulgaria,2016,7153784,3676607.0,50998.0,Intentional homicide,Prosecuted person,,
Bulgaria,2016,7153784,3676607.0,50998.0,Intentional homicide,Convicted person,77.0,2.2
Bulgaria,2016,7153784,3676607.0,50998.0,Rape,Suspected person,77.0,2.2
Bulgaria,2016,7153784,3676607.0,50998.0,Rape,Prosecuted person,,
Bulgaria,2016,7153784,3676607.0,50998.0,Rape,Convicted person,61.0,1.8
Bulgaria,2016,7153784,3676607.0,50998.0,Sexual assault,Suspected person,232.0,6.7
Bulgaria,2016,7153784,3676607.0,50998.0,Sexual assault,Prosecuted person,,
Bulgaria,2016,7153784,3676607.0,50998.0,Sexual assault,Convicted person,103.0,3.0
